order,family,common_name,scientific_name,introduced,accidental,extirpated,global_status,status_code,notes
Anseriformes,Anatidae,Fulvous Whistling-Duck,Dendrocygna bicolor,,,,,,
Anseriformes,Anatidae,Ross's Goose,Anser canagicus,,,,,,
Anseriformes,Anatidae,Anser canagicus,Anser caerulescens,,,,,,
Anseriformes,Anatidae,Anser caerulescens,Anser rossii,,,,,,
Anseriformes,Anatidae,Greater White-fronted Goose,Anser albifrons,,,,,,
Anseriformes,Anatidae,Northern Shoveler,Anser fabalis,,,,,,
Anseriformes,Anatidae,Anser fabalis,Anser brachyrhynchus,,,,,,
Anseriformes,Anatidae,Anser brachyrhynchus,Branta bernicla,,,,,,
Anseriformes,Anatidae,Branta bernicla,Branta hutchinsii,,,,,,
Anseriformes,Anatidae,Branta hutchinsii,Branta canadensis,,,,,,
Anseriformes,Anatidae,Branta canadensis,Cygnus olor,,,,,,
Anseriformes,Anatidae,Cygnus olor,Cygnus buccinator,,,,,,
Anseriformes,Anatidae,Cygnus buccinator,Cygnus columbianus,,,,,,
Anseriformes,Anatidae,Cygnus columbianus,Cygnus cygnus,,,,,,
Anseriformes,Anatidae,Cygnus cygnus,Aix sponsa,,,,,,
Anseriformes,Anatidae,Aix sponsa,Sibirionetta formosa,,,,,,
Anseriformes,Anatidae,Sibirionetta formosa,Spatula querquedula,,,,,,
Anseriformes,Anatidae,Spatula querquedula,Spatula discors,,,,,,
Anseriformes,Anatidae,Spatula discors,Spatula cyanoptera,,,,,,
Anseriformes,Anatidae,Spatula cyanoptera,Spatula clypeata,,Yes,,,,Rare/Accidental
Anseriformes,Anatidae,Rare/Accidental,Introduced species,,Yes,,,,Rare/Accidental
Anseriformes,Anatidae,Mallard,Mareca strepera,,,,,,
Anseriformes,Anatidae,Mareca strepera,Mareca falcata,,,,,,
Anseriformes,Anatidae,Mareca falcata,Mareca penelope,,,,,,
Anseriformes,Anatidae,Mareca penelope,Mareca americana,,,,,,
Anseriformes,Anatidae,Mareca americana,Anas platyrhynchos,,,,,,
Anseriformes,Anatidae,American Black Duck,Anas rubripes,,Yes,,,,Rare/Accidental
Anseriformes,Anatidae,Surf Scoter,Anas acuta,,,,,,
Anseriformes,Anatidae,Anas acuta,Anas crecca,,,,,,
Anseriformes,Anatidae,Anas crecca,Aythya valisineria,,,,,,
Anseriformes,Anatidae,Aythya valisineria,Aythya americana,,,,,,
Anseriformes,Anatidae,Aythya americana,Aythya ferina,,,,,,
Anseriformes,Anatidae,Aythya ferina,Aythya collaris,,,,,,
Anseriformes,Anatidae,Aythya collaris,Aythya fuligula,,,,,,
Anseriformes,Anatidae,Aythya fuligula,Aythya marila,,,,,,
Anseriformes,Anatidae,Aythya marila,Aythya affinis,,,,,,
Anseriformes,Anatidae,Aythya affinis,Polysticta stelleri,,,,,,
Anseriformes,Anatidae,Polysticta stelleri,Somateria fischeri,,,,,,
Anseriformes,Anatidae,Somateria fischeri,Somateria spectabilis,,,,,,
Anseriformes,Anatidae,Somateria spectabilis,Somateria mollissima,,,,,,
Anseriformes,Anatidae,Somateria mollissima,Histrionicus histrionicus,,,,,,
Anseriformes,Anatidae,Histrionicus histrionicus,Melanitta perspicillata,,,,,,
Anseriformes,Anatidae,White-winged Scoter,Melanitta deglandi,,,,,,
Anseriformes,Anatidae,Smew,Melanitta americana,,,,,,
Anseriformes,Anatidae,Melanitta americana,Clangula hyemalis,,,,,,
Anseriformes,Anatidae,Clangula hyemalis,Bucephala albeola,,,,,,
Anseriformes,Anatidae,Bucephala albeola,Bucephala clangula,,,,,,
Anseriformes,Anatidae,Bucephala clangula,Bucephala islandica,,,,,,
Anseriformes,Anatidae,Bucephala islandica,Mergellus albellus,,,,,,
Anseriformes,Anatidae,Hooded Merganser,Lophodytes cucullatus,,,,,,
Anseriformes,Anatidae,Common Merganser,Mergus merganser,,,,,,
Anseriformes,Anatidae,Red-breasted Merganser,Mergus serrator,,,,,,
Anseriformes,Anatidae,Ruddy Duck,Oxyura jamaicensis,,Yes,,Vulnerable,VU,Rare/Accidental [VU]
Galliformes,Odontophoridae,California Quail,Oreortyx pictus,,,,,,
Galliformes,Odontophoridae,Oreortyx pictus,Callipepla californica,,,,,,
Galliformes,Phasianidae,Ruffed Grouse,Meleagris gallopavo,,,,,,
Galliformes,Phasianidae,Meleagris gallopavo,Bonasa umbellus,,,,,,
Galliformes,Phasianidae,Bonasa umbellus,Introduced species,Yes,,,,,Introduced species
Galliformes,Phasianidae,Introduced species,Introduced species,,,,,,
Galliformes,Phasianidae,Greater Sage-Grouse,Centrocercus urophasianus,,,Yes,Near Threatened,NT,Extirpated [NT]
Galliformes,Phasianidae,Sooty Grouse,Dendragapus obscurus,,,,,,
Galliformes,Phasianidae,Dendragapus obscurus,Dendragapus fuliginosus,,,,,,
Galliformes,Phasianidae,Sharp-tailed Grouse,Tympanuchus phasianellus,,,,,,
Galliformes,Phasianidae,Gray Partridge,Lagopus leucura,,,,,,
Galliformes,Phasianidae,Lagopus leucura,Lagopus lagopus,,,,,,
Galliformes,Phasianidae,Lagopus lagopus,Lagopus muta,,,,,,
Galliformes,Phasianidae,Lagopus muta,Canachites canadensis,,,,,,
Galliformes,Phasianidae,Canachites canadensis,Perdix perdix,,,,,,
Galliformes,Phasianidae,Ring-necked Pheasant,Phasianus colchicus,,,,,,
Galliformes,Phasianidae,Chukar,Phasianus versicolor,,,,,,
Galliformes,Phasianidae,Phasianus versicolor,Lophura nycthemera,,,,,,
Galliformes,Phasianidae,Lophura nycthemera,Alectoris chukar,,,,,,
Columbiformes,Columbidae,Passenger Pigeon,Columba livia,,,,,,
Columbiformes,Columbidae,Columba livia,Patagioenas fasciata,,,,,,
Columbiformes,Columbidae,Patagioenas fasciata,Ectopistes migratorius,,,,,,
Columbiformes,Columbidae,Oriental Turtle-Dove,Streptopelia orientalis,,,,,,
Columbiformes,Columbidae,Eurasian Collared-Dove,Streptopelia decaocto,,,,,,
Columbiformes,Columbidae,Mourning Dove,Zenaida asiatica,,,,,,
Columbiformes,Columbidae,Zenaida asiatica,Zenaida macroura,Yes,,,,,Introduced species
