Name
Dendrocygna bicolor
Anser canagicus
Anser caerulescens
Anser rossii
Anser albifrons
Anser erythropus
Anser fabalis
Anser brachyrhynchus
Branta bernicla
Branta hutchinsii
Branta canadensis
Cygnus olor
Cygnus buccinator
Cygnus columbianus
Cygnus cygnus
Aix sponsa
Sibirionetta formosa
Spatula querquedula
Spatula discors
Spatula cyanoptera
Spatula clypeata
Mareca strepera
Mareca falcata
Mareca penelope
Mareca americana
Anas platyrhynchos
Anas rubripes
Anas acuta
Anas crecca
Aythya valisineria
Aythya americana
Aythya ferina
Aythya collaris
Aythya fuligula
Aythya marila
Aythya affinis
Polysticta stelleri
Somateria fischeri
Somateria spectabilis
Somateria mollissima
Histrionicus histrionicus
Melanitta perspicillata
Melanitta deglandi
Melanitta americana
Clangula hyemalis
Bucephala albeola
Bucephala clangula
Bucephala islandica
Mergellus albellus
Lophodytes cucullatus
Mergus merganser
Mergus serrator
Oxyura jamaicensis
Oreortyx pictus
Callipepla californica
Meleagris gallopavo
Bonasa umbellus
Centrocercus urophasianus
Dendragapus obscurus
Dendragapus fuliginosus
Tympanuchus phasianellus
Lagopus leucura
Lagopus lagopus
Lagopus muta
Canachites canadensis
Perdix perdix
Phasianus colchicus
Phasianus versicolor
Lophura nycthemera
Alectoris chukar
Columba livia
Patagioenas fasciata
Ectopistes migratorius
Streptopelia orientalis
Streptopelia decaocto
Zenaida asiatica
Zenaida macroura
Coccyzus americanus
Coccyzus erythropthalmus
Cuculus canorus
Chordeiles acutipennis
Chordeiles minor
Phalaenoptilus nuttallii
Antrostomus vociferus
Cypseloides niger
Chaetura pelagica
Chaetura vauxi
Apus nipalensis
Aeronautes saxatalis
Colibri thalassinus
Eugenes fulgens
Archilochus colubris
Archilochus alexandri
Calypte anna
Calypte costae
Selasphorus calliope
Selasphorus rufus
Selasphorus platycercus
Basilinna xantusii
Rallus limicola
Porzana carolina
Gallinula galeata
Fulica americana
Coturnicops noveboracensis
Anthropoides virgo
Antigone canadensis
Grus grus
Grus americana
Himantopus mexicanus
Recurvirostra americana
Haematopus bachmani
Pluvialis squatarola
Pluvialis dominica
Pluvialis fulva
Eudromias morinellus
Charadrius vociferus
Charadrius hiaticula
Charadrius semipalmatus
Charadrius melodus
Anarhynchus mongolus
Anarhynchus montanus
Anarhynchus nivosus
Bartramia longicauda
Numenius tahitiensis
Numenius phaeopus
Numenius americanus
Numenius madagascariensis
Limosa lapponica
Limosa limosa
Limosa haemastica
Limosa fedoa
Limnodromus griseus
Limnodromus scolopaceus
Lymnocryptes minimus
Scolopax minor
Gallinago delicata
Phalaropus tricolor
Phalaropus fulicarius
Phalaropus lobatus
Xenus cinereus
Actitis macularius
Tringa solitaria
Tringa brevipes
Tringa incana
Tringa glareola
Tringa flavipes
Tringa semipalmata
Tringa erythropus
Tringa nebularia
Tringa melanoleuca
Arenaria interpres
Arenaria melanocephala
Calidris tenuirostris
Calidris canutus
Calidris virgata
Calidris pugnax
Calidris acuminata
Calidris ferruginea
Calidris himantopus
Calidris temminckii
Calidris ruficollis
Calidris pygmaea
Calidris subruficollis
Calidris alba
Calidris alpina
Calidris maritima
Calidris ptilocnemis
Calidris bairdii
Calidris minuta
Calidris fuscicollis
Calidris minutilla
Calidris melanotos
Calidris mauri
Calidris pusilla
Stercorarius longicaudus
Stercorarius parasiticus
Stercorarius pomarinus
Stercorarius maccormicki
Cerorhinca monocerata
Fratercula cirrhata
Fratercula corniculata
Ptychoramphus aleuticus
Aethia pusilla
Aethia cristatella
Aethia psittacula
Brachyramphus brevirostris
Brachyramphus marmoratus
Cepphus columba
Alle alle
Uria lomvia
Uria aalge
Synthliboramphus antiquus
Synthliboramphus scrippsi
Synthliboramphus hypoleucus
Hydrocoloeus minutus
Rhodostethia rosea
Rissa tridactyla
Rissa brevirostris
Pagophila eburnea
Xema sabini
Chroicocephalus philadelphia
Chroicocephalus ridibundus
Leucophaeus atricilla
Leucophaeus pipixcan
Larus crassirostris
Larus heermanni
Larus canus
Larus brachyrhynchus
Larus delawarensis
Larus occidentalis
Larus smithsonianus
Larus vegae
Larus marinus
Larus hyperboreus
Larus fuscus
Larus californicus
Larus glaucescens
Larus schistisagus
Larus glaucoides
Sternula antillarum
Hydroprogne caspia
Chlidonias niger
Sterna forsteri
Sterna paradisaea
Sterna hirundo
Thalasseus elegans
Podilymbus podiceps
Podiceps auritus
Podiceps grisegena
Podiceps nigricollis
Aechmophorus occidentalis
Aechmophorus clarkii
Phaethon rubricauda
Gavia stellata
Gavia arctica
Gavia pacifica
Gavia immer
Gavia adamsii
Phoebastria immutabilis
Phoebastria nigripes
Phoebastria albatrus
Hydrobates furcatus
Hydrobates leucorhous
Fulmarus glacialis
Pterodroma ultima
Pterodroma inexpectata
Pterodroma sandwichensis
Pterodroma cookii
Ardenna creatopus
Ardenna carneipes
Ardenna gravis
Ardenna bulleri
Ardenna grisea
Ardenna tenuirostris
Puffinus puffinus
Puffinus opisthomelas
Mycteria americana
Fregata magnificens
Sula sula
Sula brewsteri
Sula dactylatra
Sula granti
Sula nebouxii
Urile penicillatus
Urile urile
Urile pelagicus
Nannopterum auritum
Plegadis chihi
Pelecanus erythrorhynchos
Pelecanus occidentalis
Botaurus lentiginosus
Botaurus exilis
Nycticorax nycticorax
Egretta caerulea
Egretta tricolor
Egretta thula
Butorides virescens
Ardea ibis
Ardea alba
Ardea herodias
Gymnogyps californianus
Coragyps atratus
Cathartes aura
Pandion haliaetus
Elanus leucurus
Aquila chrysaetos
Accipiter striatus
Astur cooperii
Astur atricapillus
Circus hudsonius
Haliaeetus leucocephalus
Ictinia mississippiensis
Buteo platypterus
Buteo lineatus
Buteo swainsoni
Buteo jamaicensis
Buteo lagopus
Buteo regalis
Tyto furcata
Psiloscops flammeolus
Megascops kennicottii
Bubo scandiacus
Bubo virginianus
Surnia ulula
Glaucidium gnoma
Athene cunicularia
Strix occidentalis
Strix varia
Strix nebulosa
Asio otus
Asio flammeus
Aegolius funereus
Aegolius acadicus
Megaceryle alcyon
Sphyrapicus thyroideus
Sphyrapicus varius
Sphyrapicus nuchalis
Sphyrapicus ruber
Melanerpes lewis
Melanerpes erythrocephalus
Melanerpes formicivorus
Picoides dorsalis
Picoides arcticus
Dryobates pubescens
Dryobates villosus
Dryobates albolarvatus
Dryocopus pileatus
Colaptes auratus
Caracara plancus
Falco tinnunculus
Falco sparverius
Falco columbarius
Falco rusticolus
Falco peregrinus
Falco mexicanus
Contopus cooperi
Contopus sordidulus
Contopus virens
Empidonax flaviventris
Empidonax virescens
Empidonax alnorum
Empidonax traillii
Empidonax minimus
Empidonax hammondii
Empidonax wrightii
Empidonax oberholseri
Empidonax difficilis
Sayornis nigricans
Sayornis phoebe
Sayornis saya
Pyrocephalus rubinus
Myiarchus cinerascens
Myiarchus crinitus
Tyrannus melancholicus
Tyrannus crassirostris
Tyrannus verticalis
Tyrannus tyrannus
Tyrannus dominicensis
Tyrannus forficatus
Tyrannus savana
Vireo atricapilla
Vireo griseus
Vireo bellii
Vireo huttoni
Vireo cassinii
Vireo solitarius
Vireo philadelphicus
Vireo gilvus
Vireo olivaceus
Vireo flavoviridis
Lanius collurio
Lanius cristatus
Lanius ludovicianus
Lanius borealis
Perisoreus canadensis
Gymnorhinus cyanocephalus
Cyanocitta stelleri
Cyanocitta cristata
Aphelocoma californica
Pica hudsonia
Nucifraga columbiana
Corvus brachyrhynchos
Corvus corax
Poecile atricapillus
Poecile gambeli
Poecile rufescens
Poecile hudsonicus
Alauda arvensis
Eremophila alpestris
Riparia riparia
Tachycineta bicolor
Tachycineta thalassina
Progne subis
Stelgidopteryx serripennis
Hirundo rustica
Delichon urbicum
Petrochelidon pyrrhonota
Petrochelidon fulva
Phylloscopus inornatus
Psaltriparus minimus
Corthylio calendula
Regulus satrapa
Sitta carolinensis
Sitta pygmaea
Sitta canadensis
Certhia americana
Polioptila caerulea
Salpinctes obsoletus
Catherpes mexicanus
Troglodytes aedon
Troglodytes pacificus
Troglodytes hiemalis
Cistothorus stellaris
Cistothorus palustris
Thryomanes bewickii
Cinclus mexicanus
Sturnus vulgaris
Spodiopsar cineraceus
Acridotheres cristatellus
Dumetella carolinensis
Toxostoma curvirostre
Toxostoma rufum
Oreoscoptes montanus
Mimus polyglottos
Sialia sialis
Sialia mexicana
Sialia currucoides
Myadestes townsendi
Ixoreus naevius
Catharus fuscescens
Catharus minimus
Catharus ustulatus
Catharus guttatus
Hylocichla mustelina
Turdus iliacus
Turdus migratorius
Turdus pilaris
Turdus eunomus
Tarsiger cyanurus
Monticola solitarius
Oenanthe oenanthe
Bombycilla garrulus
Bombycilla cedrorum
Prunella montanella
Passer domesticus
Motacilla cinerea
Motacilla tschutschensis
Motacilla citreola
Motacilla alba
Anthus cervinus
Anthus japonicus
Anthus rubescens
Anthus spragueii
Fringilla montifringilla
Coccothraustes vespertinus
Pinicola enucleator
Leucosticte tephrocotis
Haemorhous mexicanus
Haemorhous purpureus
Haemorhous cassinii
Chloris sinica
Acanthis flammea
Loxia curvirostra
Loxia leucoptera
Spinus pinus
Spinus psaltria
Spinus tristis
Calcarius lapponicus
Calcarius ornatus
Calcarius pictus
Rhynchophanes mccownii
Plectrophenax nivalis
Plectrophenax hyperboreus
Emberiza leucocephalos
Emberiza pallasi
Emberiza pusilla
Emberiza rustica
Ammodramus savannarum
Spizella passerina
Spizella pallida
Spizella pusilla
Spizella breweri
Amphispiza bilineata
Chondestes grammacus
Calamospiza melanocorys
Spizelloides arborea
Passerella iliaca
Junco hyemalis
Zonotrichia leucophrys
Zonotrichia atricapilla
Zonotrichia querula
Zonotrichia albicollis
Artemisiospiza nevadensis
Artemisiospiza belli
Pooecetes gramineus
Ammospiza leconteii
Ammospiza nelsoni
Passerculus sandwichensis
Centronyx bairdii
Melospiza melodia
Melospiza lincolnii
Melospiza georgiana
Pipilo chlorurus
Pipilo maculatus
Icteria virens
Xanthocephalus xanthocephalus
Dolichonyx oryzivorus
Sturnella neglecta
Icterus spurius
Icterus cucullatus
Icterus bullockii
Icterus galbula
Agelaius phoeniceus
Molothrus ater
Euphagus carolinus
Euphagus cyanocephalus
Quiscalus quiscula
Quiscalus mexicanus
Seiurus aurocapilla
Parkesia noveboracensis
Vermivora chrysoptera
Vermivora cyanoptera
Mniotilta varia
Protonotaria citrea
Leiothlypis peregrina
Leiothlypis celata
Leiothlypis luciae
Leiothlypis ruficapilla
Oporornis agilis
Geothlypis tolmiei
Geothlypis philadelphia
Geothlypis formosa
Geothlypis trichas
Setophaga citrina
Setophaga ruticilla
Setophaga tigrina
Setophaga americana
Setophaga magnolia
Setophaga castanea
Setophaga fusca
Setophaga petechia
Setophaga pensylvanica
Setophaga striata
Setophaga caerulescens
Setophaga palmarum
Setophaga pinus
Setophaga coronata
Setophaga dominica
Setophaga discolor
Setophaga nigrescens
Setophaga townsendi
Setophaga occidentalis
Setophaga virens
Cardellina canadensis
Cardellina pusilla
Myioborus pictus
Piranga rubra
Piranga olivacea
Piranga ludoviciana
Cardinalis cardinalis
Pheucticus ludovicianus
Pheucticus melanocephalus
Passerina caerulea
Passerina amoena
Passerina cyanea
Passerina ciris
Spiza americana
