SORTER,Submitted_Name,Submitted_Author,Submitted_Genus,Submitted_Rank,Name_in_database,Author_in_database,Genus_in_database,Rank_in_database,ID_in_database,Name_set,Fuzzy,Score,name.dist,author.dist,New_name,New_author,New_ID,Family,Name_spLev,Accepted_SPNAME,NOTE
1,Dendrocygna bicolor,,Dendrocygna,2,Dendrocygna bicolor,"(Vieillot, 1816)",Dendrocygna,2,175046,1,FALSE,0.8,0,,,,,Anatidae,,Dendrocygna bicolor,
2,Anser canagicus,,Anser,2,Anser canagicus,"(Sevastianov, 1802)",Anser,2,175042-175031,1,FALSE,0.8,0,,Chen canagica,"(Sevastianov, 1802)",175042,Anatidae,,Chen canagica,
3,Anser caerulescens,,Anser,2,Anser caerulescens,"(Linnaeus, 1758)",Anser,2,175038-175029,1,FALSE,0.8,0,,Chen caerulescens,"(Linnaeus, 1758)",175038,Anatidae,,Chen caerulescens,
4,Anser rossii,,Anser,2,Anser rossii,"Cassin, 1861",Anser,2,175041-175035,1,FALSE,0.8,0,,Chen rossii,"(Cassin, 1861)",175041,Anatidae,,Chen rossii,
5,Anser albifrons,,Anser,2,Anser albifrons,"(Scopoli, 1769)",Anser,2,175020,1,FALSE,0.8,0,,,,,Anatidae,,Anser albifrons,
6,Anser erythropus,,Anser,2,Anser erythropus,"(Linnaeus, 1758)",Anser,2,175033,1,FALSE,0.8,0,,,,,Anatidae,,Anser erythropus,
7,Anser fabalis,,Anser,2,Anser fabalis,"(Latham, 1787)",Anser,2,175024,1,FALSE,0.8,0,,,,,Anatidae,,Anser fabalis,
8,Anser brachyrhynchus,,Anser,2,Anser brachyrhynchus,"Baillon, 1834",Anser,2,175036,1,FALSE,0.8,0,,,,,Anatidae,,Anser brachyrhynchus,
9,Branta bernicla,,Branta,2,Branta bernicla,"(Linnaeus, 1758)",Branta,2,175011,1,FALSE,0.8,0,,,,,Anatidae,,Branta bernicla,
10,Branta hutchinsii,,Branta,2,Branta hutchinsii,"(Richardson, 1832)",Branta,2,714068,1,FALSE,0.8,0,,,,,Anatidae,,Branta hutchinsii,
11,Branta canadensis,,Branta,2,Branta canadensis,"(Linnaeus, 1758)",Branta,2,174999,1,FALSE,0.8,0,,,,,Anatidae,,Branta canadensis,
12,Cygnus olor,,Cygnus,2,Cygnus olor,"(Gmelin, 1789)",Cygnus,2,174985,1,FALSE,0.8,0,,,,,Anatidae,,Cygnus olor,
13,Cygnus buccinator,,Cygnus,2,Cygnus buccinator,"Richardson, 1831",Cygnus,2,174992,1,FALSE,0.8,0,,,,,Anatidae,,Cygnus buccinator,
14,Cygnus columbianus,,Cygnus,2,Cygnus columbianus,"(Ord, 1815)",Cygnus,2,174987,1,FALSE,0.8,0,,,,,Anatidae,,Cygnus columbianus,
15,Cygnus cygnus,,Cygnus,2,Cygnus cygnus,"(Linnaeus, 1758)",Cygnus,2,174990,1,FALSE,0.8,0,,,,,Anatidae,,Cygnus cygnus,
16,Aix sponsa,,Aix,2,Aix sponsa,"(Linnaeus, 1758)",Aix,2,175122,1,FALSE,0.8,0,,,,,Anatidae,,Aix sponsa,
17,Sibirionetta formosa,,Sibirionetta,2,,,,,,1,TRUE,,,,,,,,,,No matching result
18,Spatula querquedula,,Spatula,2,,,,,,1,TRUE,,,,,,,,,,No matching result
19,Spatula discors,,Spatula,2,,,,,,1,TRUE,,,,,,,,,,No matching result
20,Spatula cyanoptera,,Spatula,2,,,,,,1,TRUE,,,,,,,,,,No matching result
21,Spatula clypeata,,Spatula,2,,,,,,1,TRUE,,,,,,,,,,No matching result
22,Mareca strepera,,Mareca,2,Mareca americana,"(Gmelin, 1789)",Mareca,2,175094-175095,1,TRUE,0.45,7,,Anas americana,"Gmelin, 1789",175094,Anatidae,,Anas americana,
23,Mareca falcata,,Mareca,2,Mareca americana,"(Gmelin, 1789)",Mareca,2,175094-175095,1,TRUE,0.5,6,,Anas americana,"Gmelin, 1789",175094,Anatidae,,Anas americana,
24,Mareca penelope,,Mareca,2,Mareca americana,"(Gmelin, 1789)",Mareca,2,175094-175095,1,TRUE,0.4,8,,Anas americana,"Gmelin, 1789",175094,Anatidae,,Anas americana,
25,Mareca americana,,Mareca,2,Mareca americana,"(Gmelin, 1789)",Mareca,2,175094-175095,1,FALSE,0.8,0,,Anas americana,"Gmelin, 1789",175094,Anatidae,,Anas americana,
26,Anas platyrhynchos,,Anas,2,Anas platyrhynchos,"Linnaeus, 1758",Anas,2,175063,1,FALSE,0.8,0,,,,,Anatidae,,Anas platyrhynchos,
27,Anas rubripes,,Anas,2,Anas rubripes,"Brewster, 1902",Anas,2,175068,1,FALSE,0.8,0,,,,,Anatidae,,Anas rubripes,
28,Anas acuta,,Anas,2,Anas acuta,"Linnaeus, 1758",Anas,2,175074,1,FALSE,0.8,0,,,,,Anatidae,,Anas acuta,
29,Anas crecca,,Anas,2,Anas crecca,"Linnaeus, 1758",Anas,2,175081,1,FALSE,0.8,0,,,,,Anatidae,,Anas crecca,
30,Aythya valisineria,,Aythya,2,Aythya valisineria,"(A. Wilson, 1814)",Aythya,2,175129,1,FALSE,0.8,0,,,,,Anatidae,,Aythya valisineria,
31,Aythya americana,,Aythya,2,Aythya americana,"(Eyton, 1838)",Aythya,2,175125,1,FALSE,0.8,0,,,,,Anatidae,,Aythya americana,
32,Aythya ferina,,Aythya,2,Aythya ferina,"(Linnaeus, 1758)",Aythya,2,175126,1,FALSE,0.8,0,,,,,Anatidae,,Aythya ferina,
33,Aythya collaris,,Aythya,2,Aythya collaris,"(Donovan, 1809)",Aythya,2,175128,1,FALSE,0.8,0,,,,,Anatidae,,Aythya collaris,
34,Aythya fuligula,,Aythya,2,Aythya fuligula,"(Linnaeus, 1758)",Aythya,2,175135,1,FALSE,0.8,0,,,,,Anatidae,,Aythya fuligula,
35,Aythya marila,,Aythya,2,Aythya marila,"(Linnaeus, 1761)",Aythya,2,175130,1,FALSE,0.8,0,,,,,Anatidae,,Aythya marila,
36,Aythya affinis,,Aythya,2,Aythya affinis,"(Eyton, 1838)",Aythya,2,175134,1,FALSE,0.8,0,,,,,Anatidae,,Aythya affinis,
37,Polysticta stelleri,,Polysticta,2,Polysticta stelleri,"(Pallas, 1769)",Polysticta,2,175153,1,FALSE,0.8,0,,,,,Anatidae,,Polysticta stelleri,
38,Somateria fischeri,,Somateria,2,Somateria fischeri,"(Brandt, 1847)",Somateria,2,175161,1,FALSE,0.8,0,,,,,Anatidae,,Somateria fischeri,
39,Somateria spectabilis,,Somateria,2,Somateria spectabilis,"(Linnaeus, 1758)",Somateria,2,175160,1,FALSE,0.8,0,,,,,Anatidae,,Somateria spectabilis,
40,Somateria mollissima,,Somateria,2,Somateria mollissima,"(Linnaeus, 1758)",Somateria,2,175155,1,FALSE,0.8,0,,,,,Anatidae,,Somateria mollissima,
41,Histrionicus histrionicus,,Histrionicus,2,Histrionicus histrionicus,"(Linnaeus, 1758)",Histrionicus,2,175149,1,FALSE,0.8,0,,,,,Anatidae,,Histrionicus histrionicus,
42,Melanitta perspicillata,,Melanitta,2,Melanitta perspicillata,"(Linnaeus, 1758)",Melanitta,2,175170,1,FALSE,0.8,0,,,,,Anatidae,,Melanitta perspicillata,
43,Melanitta deglandi,,Melanitta,2,Melanitta deglandi,"(Bonaparte, 1850)",Melanitta,2,175165-175167,1,FALSE,0.8,0,,Melanitta fusca deglandi,"(Bonaparte, 1850)",175165,Anatidae,,Melanitta fusca deglandi,
44,Melanitta americana,,Melanitta,2,Melanitta americana,"(Swainson, 1832)",Melanitta,2,175173-714092,1,FALSE,0.8,0,,Melanitta nigra americana,"(Swainson, 1832)",175173,Anatidae,,Melanitta nigra americana,
