assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
85926819,45100023,Phasianus colchicus,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Phasianus,colchicus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
85946855,22679839,Cygnus olor,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Cygnus,olor,,,,"(Gmelin, 1789)",Least Concern,,3.1,Increasing,Global
85965262,22679856,Cygnus cygnus,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Cygnus,cygnus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Unknown,Global
85978254,22679872,Anser brachyrhynchus,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Anser,brachyrhynchus,,,,"Baillon, 1834",Least Concern,,3.1,Increasing,Global
85991357,22680465,Mergellus albellus,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Mergellus,albellus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
86013549,22680391,Aythya fuligula,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Aythya,fuligula,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global
86016410,22680313,Spatula querquedula,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Spatula,querquedula,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
86020572,22680149,Mareca strepera,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Mareca,strepera,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Increasing,Global
86111691,22686800,Apus apus,ANIMALIA,CHORDATA,CAPRIMULGIFORMES,AVES,APODIDAE,Apus,apus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global
86147127,22692543,Crex crex,ANIMALIA,CHORDATA,GRUIFORMES,AVES,RALLIDAE,Crex,crex,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global
86219168,22692146,Grus grus,ANIMALIA,CHORDATA,GRUIFORMES,AVES,GRUIDAE,Grus,grus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Increasing,Global
86473701,62774969,Egretta garzetta,ANIMALIA,CHORDATA,PELECANIFORMES,AVES,ARDEIDAE,Egretta,garzetta,,,,"(Linnaeus, 1766)",Least Concern,,3.1,Increasing,Global
86551440,22693727,Pluvialis apricaria,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,CHARADRIIDAE,Pluvialis,apricaria,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Increasing,Global
86574443,22693906,Eudromias morinellus,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,CHARADRIIDAE,Eudromias,morinellus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
