internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
22680465,Mergellus albellus,Mergus albellus albellus Cramp and Simmons (1977-1994),Mergus albellus,albellus,Cramp and Simmons (1977-1994),,
22680465,Mergellus albellus,Mergus albellus,Mergus albellus,,AERC TAC (2003),,
22680313,Spatula querquedula,"Anas querquedula Linnaeus, 1758",Anas,querquedula,"Linnaeus, 1758",,
22680149,Mareca strepera,"Anas strepera Linnaeus, 1758",Anas,strepera,"Linnaeus, 1758",,
22693906,Eudromias morinellus,Charadrius morinellus,Charadrius morinellus,,AERC TAC (2003),,
22693906,Eudromias morinellus,Charadrius morinellus morinellus Dowsett and Forbes-Watson (1993),Charadrius morinellus,morinellus,Dowsett and Forbes-Watson (1993),,
22693906,Eudromias morinellus,Charadrius morinellus morinellus Cramp and Simmons (1977-1994),Charadrius morinellus,morinellus,Cramp and Simmons (1977-1994),,
22693906,Eudromias morinellus,Charadrius morinellus morinellus AOU checklist (1998 + supplements),Charadrius morinellus,morinellus,AOU checklist (1998 + supplements),,
22693468,Calidris pugnax,"Philomachus pugnax (Linnaeus, 1758)",Philomachus,pugnax,"(Linnaeus, 1758)",,
22693468,Calidris pugnax,"Tringa pugnax Linnaeus, 1758",Tringa,pugnax,"Linnaeus, 1758",,
22693264,Actitis hypoleucos,Tringa hypoleucos hypoleucos Cramp and Simmons (1977-1994),Tringa hypoleucos,hypoleucos,Cramp and Simmons (1977-1994),,
22693264,Actitis hypoleucos,Tringa hypoleucos hypoleucos Turbott (1990),Tringa hypoleucos,hypoleucos,Turbott (1990),,
22693264,Actitis hypoleucos,"Tringa hypoleucos hypoleucos Sibley and Monroe (1990, 1993)",Tringa hypoleucos,hypoleucos,"Sibley and Monroe (1990, 1993)",,
22711750,Poecile cinctus,Poecile cincta cincta AOU checklist (1998 + supplements),Poecile cincta,cincta,AOU checklist (1998 + supplements),,
22711750,Poecile cinctus,"Parus cinctus Boddaert, 1783",Parus,cinctus,"Boddaert, 1783",,
22709701,Calliope calliope,"Luscinia calliope (Pallas, 1776)",Luscinia,calliope,"(Pallas, 1776)",,
22681149,Dryobates nuttallii,"Picoides nuttallii (Gambel, 1843)",Picoides,nuttallii,"(Gambel, 1843)",,
22681155,Dryobates pubescens,"Picoides pubescens (Linnaeus, 1766)",Picoides,pubescens,"(Linnaeus, 1766)",,
22681169,Leuconotopicus albolarvatus,"Picoides albolarvatus (Cassin, 1850)",Picoides,albolarvatus,"(Cassin, 1850)",,
22681363,Hylatomus pileatus,"Dryocopus pileatus (Linnaeus, 1758)",Dryocopus,pileatus,"(Linnaeus, 1758)",,
