internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
45100023,Phasianus colchicus,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Phasianus,colchicus,,,,,"(Linnaeus, 1758)","Phasianus colchicus and P. versicolor (del Hoyo and Collar 2014) were previously lumped as P. colchicus following Sibley and Monroe (1990, 1993)."
22679839,Cygnus olor,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Cygnus,olor,,,,,"(Gmelin, 1789)",""
22679856,Cygnus cygnus,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Cygnus,cygnus,,,,,"(Linnaeus, 1758)",""
22679872,Anser brachyrhynchus,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anser,brachyrhynchus,,,,,"Baillon, 1834","Closely related to A. fabalis, of which sometimes considered a subspecies (see related note/s). Monotypic."
22680465,Mergellus albellus,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Mergellus,albellus,,,,,"(Linnaeus, 1758)",""
22680391,Aythya fuligula,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Aythya,fuligula,,,,,"(Linnaeus, 1758)",""
22680313,Spatula querquedula,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Spatula,querquedula,,,,,"(Linnaeus, 1758)",Spatula querquedula (del Hoyo and Collar 2014) was previously placed in the genus Anas.
22680149,Mareca strepera,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Mareca,strepera,,,,,"(Linnaeus, 1758)",Mareca strepera (del Hoyo and Collar 2014) was previously placed in the genus Anas.
22686800,Apus apus,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,APODIDAE,Apus,apus,,,,,"(Linnaeus, 1758)",""
22692543,Crex crex,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Crex,crex,,,,,"(Linnaeus, 1758)",""
22692146,Grus grus,ANIMALIA,CHORDATA,AVES,GRUIFORMES,GRUIDAE,Grus,grus,,,,,"(Linnaeus, 1758)","Hybrids with G. monacha recorded on migration in NE China (Williams et al. 1992). New subspecies archibaldi appears to be distinctive owing to absence of red on hindcrown, but other characters remain to be determined; not yet accepted by some authorities (Dickinson &amp; Remsen 2013). E form lilfordi (Turkey to EC Asia; wintering NE Africa E to S China) sometimes recognized, but here regarded as probably undiagnosable, differences from nominate believed to be based on plumage colour variations due in part to differences in feather-painting behaviour. Two subspecies recognized."
62774969,Egretta garzetta,ANIMALIA,CHORDATA,AVES,PELECANIFORMES,ARDEIDAE,Egretta,garzetta,,,,,"(Linnaeus, 1766)","Egretta gularis (del Hoyo and Collar 2014) contains the taxon dimorpha, which was previously included within E. garzetta following Kushlan and Hancock (2005). Prior to that, all three taxa were treated as separate species following Sibley and Monroe (1990, 1993)."
22693727,Pluvialis apricaria,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,CHARADRIIDAE,Pluvialis,apricaria,,,,,"(Linnaeus, 1758)",""
22693906,Eudromias morinellus,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,CHARADRIIDAE,Eudromias,morinellus,,,,,"(Linnaeus, 1758)",""
22693468,Calidris pugnax,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Calidris,pugnax,,,,,"(Linnaeus, 1758)",Calidris pugnax (del Hoyo and Collar 2014) was previously placed in the genus Philomachus.
22693085,Gallinago stenura,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Gallinago,stenura,,,,,"(Bonaparte, 1830)",Monotypic.
22693133,Lymnocryptes minimus,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Lymnocryptes,minimus,,,,,"(Brünnich, 1764)",""
22693264,Actitis hypoleucos,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Actitis,hypoleucos,,,,,"(Linnaeus, 1758)",""
22693243,Tringa ochropus,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Tringa,ochropus,,,,,"Linnaeus, 1758",""
22693207,Tringa erythropus,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Tringa,erythropus,,,,,"(Pallas, 1764)",""
22693220,Tringa nebularia,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Tringa,nebularia,,,,,"(Gunnerus, 1767)",""
22693211,Tringa totanus,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Tringa,totanus,,,,,"(Linnaeus, 1758)",""
22693247,Tringa glareola,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Tringa,glareola,,,,,"Linnaeus, 1758",""
22693216,Tringa stagnatilis,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Tringa,stagnatilis,,,,,"(Bechstein, 1803)",""
22694782,Chlidonias leucopterus,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,LARIDAE,Chlidonias,leucopterus,,,,,"(Temminck, 1815)",""
22727137,Picoides tridactylus,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Picoides,tridactylus,,,,,"(Linnaeus, 1758)","Picoides tridactylus and P. funebris (del Hoyo and Collar 2014) were previously lumped as P. tridactylus following AOU (2003). P. tridactylus (del Hoyo and Collar 2014) was previously split into P. tridactylus and P. dorsalis following AOU (2003), and prior to that all three taxa were lumped as P. tridactylus following Sibley and Monroe (1990, 1993)."
22681124,Dendrocopos major,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Dendrocopos,major,,,,,"(Linnaeus, 1758)",""
22708146,Bombycilla garrulus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,BOMBYCILLIDAE,Bombycilla,garrulus,,,,,"(Linnaeus, 1758)",""
22711750,Poecile cinctus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PARIDAE,Poecile,cinctus,,,,,"(Boddaert, 1783)",Poecile cinctus (del Hoyo and Collar 2016) was previously listed as Parus cinctus.
103845882,Phylloscopus borealis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PHYLLOSCOPIDAE,Phylloscopus,borealis,,,,,"(Blasius, 1858)","Phylloscopus borealis, P. examinandus and P. xanthodryas (del Hoyo and Collar 2016) were previously lumped as P. borealis following AERC TAC (2003), AOU (1998 &amp; supplements), Christidis and Boles (2008), Cramp et al. (1977–1994), Sibley and Monroe (1990, 1993) and Stotz et al. (1996).  "
22709701,Calliope calliope,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Calliope,calliope,,,,,"(Pallas, 1776)","Calliope calliope (del Hoyo and Collar 2016) was previously placed in the genus Luscinia following AERC TAC (2003); AOU (1998 &amp; supplements); Cramp et al. (1977-1994); Sibley &amp; Monroe (1990, 1993).  "
105294257,Tarsiger cyanurus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Tarsiger,cyanurus,,,,,"(Pallas, 1773)","Tarsiger cyanurus and T. rufilatus (del Hoyo and Collar 2016) were previously lumped as T. cyanurus following AERC TAC (2003), AOU (1998 and supplements), Cramp et al. (1977–1994), and Sibley and Monroe (1990, 1993).  "
22718550,Anthus hodgsoni,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MOTACILLIDAE,Anthus,hodgsoni,,,,,"Richmond, 1907",""
22721043,Plectrophenax nivalis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CALCARIIDAE,Plectrophenax,nivalis,,,,,"(Linnaeus, 1758)",""
22679460,Lagopus lagopus,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Lagopus,lagopus,,,,,"(Linnaeus, 1758)",""
22720960,Emberiza rustica,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,EMBERIZIDAE,Emberiza,rustica,,,,,"Pallas, 1776",""
22679862,Cygnus columbianus,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Cygnus,columbianus,,,,,"(Ord, 1815)",""
22679435,Pavo cristatus,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Pavo,cristatus,,,,,"Linnaeus, 1758",""
22679503,Centrocercus urophasianus,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Centrocercus,urophasianus,,,,,"(Bonaparte, 1827)",""
22679746,Dendrocygna bicolor,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Dendrocygna,bicolor,,,,,"(Vieillot, 1816)",""
22680853,Melanerpes uropygialis,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Melanerpes,uropygialis,,,,,"(Baird, 1854)",""
22680862,Melanerpes aurifrons,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Melanerpes,aurifrons,,,,,"(Wagler, 1829)",""
22680868,Sphyrapicus varius,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Sphyrapicus,varius,,,,,"(Linnaeus, 1766)",""
22681149,Dryobates nuttallii,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Dryobates,nuttallii,,,,,"(Gambel, 1843)",Dryobates nuttallii (del Hoyo and Collar 2014) was previously placed in the genus Picoides.
22681155,Dryobates pubescens,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Dryobates,pubescens,,,,,"(Linnaeus, 1766)",Dryobates pubescens (del Hoyo and Collar 2014) was previously placed in the genus Picoides.
22681169,Leuconotopicus albolarvatus,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Leuconotopicus,albolarvatus,,,,,"(Cassin, 1850)",Leuconotopicus albolarvatus (del Hoyo and Collar 2014) was previously placed in the genus Picoides.
22681181,Picoides arcticus,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Picoides,arcticus,,,,,"(Swainson, 1832)",""
22681290,Colaptes chrysoides,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Colaptes,chrysoides,,,,,"(Malherbe, 1852)",""
22681363,Hylatomus pileatus,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Hylatomus,pileatus,,,,,"(Linnaeus, 1758)",Hylatomus pileatus (del Hoyo and Collar 2014) was previously placed in the genus Dryocopus.
22688637,Psiloscops flammeolus,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Psiloscops,flammeolus,,,,,"(Kaup, 1853)",Psiloscops flammeolus (del Hoyo and Collar 2014) was previously placed in the genus Otus.
22688766,Megascops trichopsis,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Megascops,trichopsis,,,,,"(Wagler, 1832)",""
22689353,Athene cunicularia,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Athene,cunicularia,,,,,"(Molina, 1782)",""
22690708,Geopelia striata,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Geopelia,striata,,,,,"(Linnaeus, 1766)",""
22690762,Columbina inca,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Columbina,inca,,,,,"(Lesson, 1847)",""
22692174,Aramus guarauna,ANIMALIA,CHORDATA,AVES,GRUIFORMES,ARAMIDAE,Aramus,guarauna,,,,,"(Linnaeus, 1766)",""
