SortID,Order,Family,Species common name,Species scientific name,PhyloName,phylo-duplicate-flag,phylo-fidelity,Str-None,Str-Scrape,Str-Clearing,Str-Ring,Str-Excavation,Str-CavityMod,Str-ExWNest,Str-Mound,Str-Platform,Str-Cup,Str-Dome,Str-DomeAndTube,Loc-Artificial,Loc-EarthHole,Loc-Ground,Loc-Rocks,Loc-TreeHole,Loc-Veg,Loc-Water,Body mass (log),HWI,Latitude,AnnualTemp,TempRange,AnnualPrecip,PrecipRange
1,STRUTHIONIFORMES,Struthionidae,Common Ostrich,Struthio camelus,Struthio camelus,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.045322979,0.017409675,3.8,24.71902771,23.76219717,443.5453523,108.7350245
2,STRUTHIONIFORMES,Struthionidae,Somali Ostrich,Struthio molybdophanes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019858404,NA,NA,NA,NA,NA
3,STRUTHIONIFORMES,Rheidae,Greater Rhea,Rhea americana,Rhea americana,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.361727836,0.016588323,-20.63,21.95613119,19.9289242,1197.553785,162.7520696
4,STRUTHIONIFORMES,Rheidae,Lesser Rhea,Rhea pennata,Rhea pennata,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.378397901,0.016167494,-35.79,9.135526977,24.10852616,255.8050928,34.73229094
5,STRUTHIONIFORMES,Rheidae,Puna Rhea,Rhea tarapacensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,STRUTHIONIFORMES,Tinamidae,Tawny-breasted Tinamou,Nothocercus julius,Nothocercus julius,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,u,NA,NA,NA,NA,2.828981954,16.7234717,1.42,19.42248958,12.01736,2122.555563,205.7604485
7,STRUTHIONIFORMES,Tinamidae,Highland Tinamou,Nothocercus bonapartei,Nothocercus bonapartei,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2.882524538,14.16336376,4.97,21.65415211,12.10754014,2345.841789,229.3454792
8,STRUTHIONIFORMES,Tinamidae,Hooded Tinamou,Nothocercus nigrocapillus,Nothocercus nigrocapillus,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.767897616,15.66157753,-14.68,17.66411947,17.85070526,1665.136474,221.5104805
9,STRUTHIONIFORMES,Tinamidae,Grey Tinamou,Tinamus tao,Tinamus tao,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.204147125,14.19806859,-7.73,24.81559201,15.16126166,1971.720512,273.5485051
10,STRUTHIONIFORMES,Tinamidae,Solitary Tinamou,Tinamus solitarius,Tinamus solitarius,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.141891682,13.63738999,-22.26,20.87319346,17.84779542,1446.038739,147.230815
11,STRUTHIONIFORMES,Tinamidae,Black Tinamou,Tinamus osgoodi,Tinamus osgoodi,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,3.108903128,13.81304348,-10.23,18.20033,16.01116,2336.4107,253.96059
12,STRUTHIONIFORMES,Tinamidae,Great Tinamou,Tinamus major,Tinamus major,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.011236242,20.49552617,-1.19,25.26657805,13.13038749,2315.729313,269.3649555
13,STRUTHIONIFORMES,Tinamidae,White-throated Tinamou,Tinamus guttatus,Tinamus guttatus,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.836438056,26.40499811,-5.54,25.53861053,13.4907001,2339.027287,254.2953604
14,STRUTHIONIFORMES,Tinamidae,Berlepsch's Tinamou,Crypturellus berlepschi,Crypturellus berlepschi,0,NA,NA,u,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,u,NA,NA,NA,NA,2.713347715,23.31738138,3.34,24.00719048,9.780772857,4070.803333,304.3976714
15,STRUTHIONIFORMES,Tinamidae,Cinereous Tinamou,Crypturellus cinereus,Crypturellus cinereus,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.704690903,15.68447261,-3.68,25.58527507,13.06086857,2317.318746,265.3858086
16,STRUTHIONIFORMES,Tinamidae,Tepui Tinamou,Crypturellus ptaritepui,Crypturellus ptaritepui,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.614380393,7.360294118,5.3,22.26875,12.311875,2678,337.108575
17,STRUTHIONIFORMES,Tinamidae,Little Tinamou,Crypturellus soui,Crypturellus soui,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.334775332,26.7569554,-2.51,25.15291817,13.65984625,2094.610612,262.2325648
18,STRUTHIONIFORMES,Tinamidae,Brown Tinamou,Crypturellus obsoletus,Crypturellus obsoletus,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.646795689,22.46075908,-18.16,21.62584762,17.46780238,1549.42968,201.3749453
19,STRUTHIONIFORMES,Tinamidae,Undulated Tinamou,Crypturellus undulatus,Crypturellus undulatus,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.751602394,18.78464497,-7.99,25.05169981,14.8048547,2028.992187,253.1243773
20,STRUTHIONIFORMES,Tinamidae,Brazilian Tinamou,Crypturellus strigulosus,Crypturellus strigulosus,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.634053853,16.36227725,-8.71,25.45550029,15.57191309,1969.322408,295.1714882
21,STRUTHIONIFORMES,Tinamidae,Grey-legged Tinamou,Crypturellus duidae,Crypturellus duidae,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.629409599,27.92068287,4.16,25.38967059,13.02533529,2774.935294,363.4637018
22,STRUTHIONIFORMES,Tinamidae,Red-legged Tinamou,Crypturellus erythropus,Crypturellus erythropus,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.685741739,30.14233958,4.78,26.19575092,11.67346004,1990.134755,271.0026317
23,STRUTHIONIFORMES,Tinamidae,Yellow-legged Tinamou,Crypturellus noctivagus,Crypturellus noctivagus,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.749728588,24.05914378,-16.88,22.13407415,16.73074507,1135.60462,160.4261774
24,STRUTHIONIFORMES,Tinamidae,Black-capped Tinamou,Crypturellus atrocapillus,Crypturellus atrocapillus,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.656098202,22.77924544,-14.68,23.240675,16.34455625,2129.512938,268.1225969
25,STRUTHIONIFORMES,Tinamidae,Western Thicket Tinamou,Crypturellus occidentalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,STRUTHIONIFORMES,Tinamidae,Eastern Thicket Tinamou,Crypturellus cinnamomeus,Crypturellus cinnamomeus,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.625312451,22.51412861,18.33,23.48421185,18.23428444,1410.506815,254.4242917
27,STRUTHIONIFORMES,Tinamidae,Pale-browed Tinamou,Crypturellus transfasciatus,Crypturellus transfasciatus,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.451786436,24.07312521,-2.79,23.12756875,13.22604375,703.4733563,160.7454373
28,STRUTHIONIFORMES,Tinamidae,Slaty-breasted Tinamou,Crypturellus boucardi,Crypturellus boucardi,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.639107811,25.16583352,15.42,24.24832239,14.62381224,2173.436761,310.4336807
29,STRUTHIONIFORMES,Tinamidae,Choco Tinamou,Crypturellus kerriae,Crypturellus kerriae,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.614380393,21.77298981,6.67,25.17668,9.850405,4360.928,387.09153
30,STRUTHIONIFORMES,Tinamidae,Variegated Tinamou,Crypturellus variegatus,Crypturellus variegatus,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.5774918,32.55082023,-3.24,25.52650282,12.64087229,2308.181706,259.0138136
31,STRUTHIONIFORMES,Tinamidae,Rusty Tinamou,Crypturellus brevirostris,Crypturellus brevirostris,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.614380393,18.85349121,-3.13,26.3223,11.06409053,2629.921684,221.5775253
32,STRUTHIONIFORMES,Tinamidae,Bartlett's Tinamou,Crypturellus bartletti,Crypturellus bartletti,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.382017043,26.96552277,-7.69,25.3341977,13.47651935,2302.209401,218.228171
33,STRUTHIONIFORMES,Tinamidae,Barred Tinamou,Crypturellus casiquiare,Crypturellus casiquiare,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.614380393,23.34369257,1.89,26.23012143,12.09993571,3366.078571,259.2754071
34,STRUTHIONIFORMES,Tinamidae,Small-billed Tinamou,Crypturellus parvirostris,Crypturellus parvirostris,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.298831252,24.69580816,-13.05,24.24188102,16.65303974,1527.428164,236.7998658
35,STRUTHIONIFORMES,Tinamidae,Tataupa Tinamou,Crypturellus tataupa,Crypturellus tataupa,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.340047318,21.08513537,-17.73,22.78409427,18.45915043,1231.733457,173.8638592
36,STRUTHIONIFORMES,Tinamidae,Red-winged Tinamou,Rhynchotus rufescens,Rhynchotus rufescens,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.92606964,19.95512514,-20.05,21.8113071,19.37410127,1277.571997,173.5084931
