"order","family","sci_name","common_name","iucn_2024","status","mass_g","habitat","habitat_density","migration","trophic_level","trophic_niche","primary_lifestyle","range_size","lifespan","repro_age","clutches_per_year","kipps_distance","hand_wing_index","nest_type","majority_nesting_location","most_common_nesting_location","second_nesting_location","nest_category","any_tree_nest","ground_nest","shrub_nest","snag_nest","live_tree_nest","conifer_nest","deciduous_nest","majority_foraging_location","most_common_foraging_location","second_foraging_location","av_id","elton_id","d_id","elton_common_name","elton_sci_name","elton_syn","d_sci_name","for_hawking","for_foliage_gleaning","for_bark_gleaning","fstimb","diet_inv","diet_nect","diet_seed","for_strat_ground","for_strat_understory","for_strat_canopy","elevational_range","forest_use","primary_habitat","habitat_breadth","primary_diet","diet_breadth","eco_spec_index","old_growth"
"ANSERIFORMES"," Anatidae","Dendrocygna bicolor","Fulvous Whistling-Duck","LC","Rare/Accidental",756.4,"Wetland","open",2,"Herbivore","Omnivore","Terrestrial",18668766.17,6.5,1,1,65.5,29.7,"cup","ground","ground_nest","float_nest","built.structure",0,60,0,0,0,0,0,"water","water",NA,380,560,20,"Fulvous Whistling-duck","Dendrocygna bicolor",NA,NA,0,0,0,0,0,0,20,0,0,0,1000,0,"Wetland",2,"Seed",3,1.222,0
"ANSERIFORMES"," Anatidae","Anser canagicus","Emperor Goose","LC","Rare/Accidental",2136.5,"Coastal","open",3,"Herbivore","Omnivore","Terrestrial",186745.48,13,3.5,1,181,49.4,"scrape","ground","ground_nest",NA,"open",0,100,0,0,0,0,0,"ground","ground","water",410,611,30,NA,"Chen canagica","Anser canagicus","Chen canagica",0,0,0,0,10,0,0,80,0,0,150,0,"Coastal",2,"Omnivore",3,1.222,0
"ANSERIFORMES"," Anatidae","Anser caerulescens","Snow Goose","LC","",2636.2,"Grassland","open",3,"Herbivore","Herbivore terrestrial","Terrestrial",582038.07,26,3.2,1,214.5,52.5,"scrape","ground","ground_nest",NA,"open",0,100,0,0,0,0,0,"ground","ground","water",411,609,40,NA,"Chen caerulescens","Anser caerulescens","Chen caerulescens",0,0,0,0,0,0,10,80,0,0,2500,0,"Grassland",5,"Plant",3,0.824,0
"ANSERIFORMES"," Anatidae","Anser rossii","Ross's Goose","LC","",1636,"Wetland","open",3,"Herbivore","Herbivore terrestrial","Terrestrial",216140.46,22,2.7,1,188.2,54.4,"scrape","ground","ground_nest",NA,"open",0,100,0,0,0,0,0,"ground","ground","water",412,610,50,NA,"Chen rossii","Anser rossii","Chen rossii",0,0,0,0,0,0,0,80,0,0,2500,0,"Wetland",4,"Plant",3,0.921,0
"ANSERIFORMES"," Anatidae","Anser albifrons","Greater White-fronted Goose","LC","",2506.4,"Grassland","open",3,"Herbivore","Herbivore terrestrial","Terrestrial",5891602.97,22,3,1,213.8,52.6,"scrape","ground","ground_nest",NA,"open",0,100,0,0,0,0,0,"ground","ground","water",418,603,60,"Greater White-fronted Goose","Anser albifrons",NA,NA,0,0,0,0,0,0,0,80,0,0,2500,0,"Grassland",5,"Seed",3,0.824,0
"ANSERIFORMES"," Anatidae","Anser erythropus","Lesser White-fronted Goose","VU","Uncertain origin Vulnerable",1755.5,"Grassland","open",3,"Herbivore","Herbivore terrestrial","Terrestrial",2594919.27,NA,NA,NA,195.5,53.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ground","ground","water",419,606,NA,"Lesser White-fronted Goose",NA,NA,NA,NA,NA,NA,NA,0,0,0,80,0,0,700,0,"Grassland",4,"Plant",1,1.398,0
"ANSERIFORMES"," Anatidae","Anser fabalis","Taiga Bean-Goose","LC","Rare/Accidental",2754.7,"Wetland","open",3,"Herbivore","Herbivore terrestrial","Terrestrial",13919541.37,NA,NA,NA,225.4,50.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ground","ground","water",416,600,NA,"Bean Goose",NA,NA,NA,NA,NA,NA,NA,0,0,0,80,0,0,500,0,"Wetland",3,"Plant",3,1.046,0
"ANSERIFORMES"," Anatidae","Anser brachyrhynchus","Pink-footed Goose","LC","Uncertain origin",2642,"Grassland","open",3,"Herbivore","Herbivore terrestrial","Terrestrial",190949.74,NA,NA,NA,210.8,49.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ground","ground","water",417,599,NA,"Pink-footed Goose",NA,NA,NA,NA,NA,NA,NA,0,0,0,60,0,0,700,0,"Grassland",4,"Plant",3,0.921,0
"ANSERIFORMES"," Anatidae","Branta bernicla","Brant","LC","",1277.9,"Grassland","open",3,"Herbivore","Herbivore terrestrial","Terrestrial",3125724.3,21,2.3,1,167.7,52.3,"scrape","ground","ground_nest",NA,"open",0,100,0,0,0,0,0,"ground","ground","water",404,616,70,"Brent Goose","Branta bernicla",NA,NA,0,0,0,0,0,0,0,60,0,0,NA,0,"Grassland",4,"Plant",2,1.097,0
"ANSERIFORMES"," Anatidae","Branta hutchinsii","Cackling Goose","LC","Rare/Accidental",2811.7,"Grassland","open",3,"Herbivore","Herbivore terrestrial","Terrestrial",1274687.67,28,3,1,176.6,44.6,"scrape","ground","ground_nest",NA,"open",0,100,0,0,0,0,0,"ground","ground","water",407,19813,85,"Cackling Goose","Branta hutchinsii",NA,NA,0,0,0,0,0,0,0,60,0,0,2000,0,"Grassland",5,"Plant",3,0.824,0
