"Order","Family","common_name","sci_name","status"
"ANSERIFORMES","Anatidae","Fulvous Whistling-Duck","Dendrocygna bicolor","Rare/Accidental"
"ANSERIFORMES","Anatidae","Emperor Goose","Anser canagicus","Rare/Accidental"
"ANSERIFORMES","Anatidae","Snow Goose","Anser caerulescens",NA
"ANSERIFORMES","Anatidae","Ross's Goose","Anser rossii",NA
"ANSERIFORMES","Anatidae","Greater White-fronted Goose","Anser albifrons",NA
"ANSERIFORMES","Anatidae","Lesser White-fronted Goose","Anser erythropus","Uncertain origin Vulnerable"
"ANSERIFORMES","Anatidae","Taiga Bean-Goose","Anser fabalis","Rare/Accidental"
"ANSERIFORMES","Anatidae","Pink-footed Goose","Anser brachyrhynchus","Uncertain origin"
"ANSERIFORMES","Anatidae","Brant","Branta bernicla",NA
"ANSERIFORMES","Anatidae","Cackling Goose","Branta hutchinsii","Rare/Accidental"
"ANSERIFORMES","Anatidae","Canada Goose","Branta canadensis",NA
"ANSERIFORMES","Anatidae","Mute Swan","Cygnus olor","Introduced species"
"ANSERIFORMES","Anatidae","Trumpeter Swan","Cygnus buccinator",NA
"ANSERIFORMES","Anatidae","Tundra Swan","Cygnus columbianus",NA
"ANSERIFORMES","Anatidae","Whooper Swan","Cygnus cygnus","Rare/Accidental"
"ANSERIFORMES","Anatidae","Wood Duck","Aix sponsa",NA
"ANSERIFORMES","Anatidae","Baikal Teal","Sibirionetta formosa","Rare/Accidental"
"ANSERIFORMES","Anatidae","Garganey","Spatula querquedula","Rare/Accidental"
"ANSERIFORMES","Anatidae","Blue-winged Teal","Spatula discors",NA
"ANSERIFORMES","Anatidae","Cinnamon Teal","Spatula cyanoptera",NA
"ANSERIFORMES","Anatidae","Northern Shoveler","Spatula clypeata",NA
"ANSERIFORMES","Anatidae","Gadwall","Mareca strepera",NA
"ANSERIFORMES","Anatidae","Falcated Duck","Mareca falcata","Rare/Accidental"
"ANSERIFORMES","Anatidae","Eurasian Wigeon","Mareca penelope",NA
"ANSERIFORMES","Anatidae","American Wigeon","Mareca americana",NA
"ANSERIFORMES","Anatidae","Mallard","Anas platyrhynchos",NA
"ANSERIFORMES","Anatidae","American Black Duck","Anas rubripes","Rare/Accidental"
"ANSERIFORMES","Anatidae","Northern Pintail","Anas acuta",NA
"ANSERIFORMES","Anatidae","Green-winged Teal","Anas crecca",NA
"ANSERIFORMES","Anatidae","Canvasback","Aythya valisineria",NA
"ANSERIFORMES","Anatidae","Redhead","Aythya americana",NA
"ANSERIFORMES","Anatidae","Common Pochard","Aythya ferina","Rare/Accidental Vulnerable"
"ANSERIFORMES","Anatidae","Ring-necked Duck","Aythya collaris",NA
"ANSERIFORMES","Anatidae","Tufted Duck","Aythya fuligula","Rare/Accidental"
"ANSERIFORMES","Anatidae","Greater Scaup","Aythya marila","Rare/Accidental"
"ANSERIFORMES","Anatidae","Lesser Scaup","Aythya affinis",NA
"ANSERIFORMES","Anatidae","Steller's Eider","Polysticta stelleri","Rare/Accidental Vulnerable"
"ANSERIFORMES","Anatidae","Spectacled Eider","Somateria fischeri","Rare/Accidental Near-threatened"
"ANSERIFORMES","Anatidae","King Eider","Somateria spectabilis","Rare/Accidental"
"ANSERIFORMES","Anatidae","Common Eider","Somateria mollissima","Rare/Accidental Near-threatened"
"ANSERIFORMES","Anatidae","Harlequin Duck","Histrionicus histrionicus",NA
"ANSERIFORMES","Anatidae","Surf Scoter","Melanitta perspicillata",NA
"ANSERIFORMES","Anatidae","White-winged Scoter","Melanitta deglandi",NA
"ANSERIFORMES","Anatidae","Black Scoter","Melanitta americana","Near-threatened"
"ANSERIFORMES","Anatidae","Long-tailed Duck","Clangula hyemalis","Vulnerable"
"ANSERIFORMES","Anatidae","Bufflehead","Bucephala albeola",NA
"ANSERIFORMES","Anatidae","Common Goldeneye","Bucephala clangula",NA
"ANSERIFORMES","Anatidae","Barrow's Goldeneye","Bucephala islandica",NA
"ANSERIFORMES","Anatidae","Smew","Mergellus albellus","Rare/Accidental"
"ANSERIFORMES","Anatidae","Hooded Merganser","Lophodytes cucullatus",NA
"ANSERIFORMES","Anatidae","Common Merganser","Mergus merganser",NA
"ANSERIFORMES","Anatidae","Red-breasted Merganser","Mergus serrator",NA
"ANSERIFORMES","Anatidae","Ruddy Duck","Oxyura jamaicensis",NA
"GALLIFORMES","Odontophoridae","Mountain Quail","Oreortyx pictus","Introduced species"
"GALLIFORMES","Odontophoridae","California Quail","Callipepla californica","Introduced species"
"GALLIFORMES","Phasianidae","Wild Turkey","Meleagris gallopavo","Introduced species"
"GALLIFORMES","Phasianidae","Ruffed Grouse","Bonasa umbellus",NA
"GALLIFORMES","Phasianidae","Greater Sage-Grouse","Centrocercus urophasianus","Extirpated Near-threatened"
"GALLIFORMES","Phasianidae","Dusky Grouse","Dendragapus obscurus",NA
"GALLIFORMES","Phasianidae","Sooty Grouse","Dendragapus fuliginosus",NA
"GALLIFORMES","Phasianidae","Sharp-tailed Grouse","Tympanuchus phasianellus",NA
"GALLIFORMES","Phasianidae","White-tailed Ptarmigan","Lagopus leucura",NA
"GALLIFORMES","Phasianidae","Willow Ptarmigan","Lagopus lagopus",NA
