"Order","Family","common_name","sci_name","status"
"ANSERIFORMES","Anatidae","Snow Goose","Anser caerulescens",NA
"ANSERIFORMES","Anatidae","Ross's Goose","Anser rossii",NA
"ANSERIFORMES","Anatidae","Greater White-fronted Goose","Anser albifrons",NA
"ANSERIFORMES","Anatidae","Brant","Branta bernicla",NA
"ANSERIFORMES","Anatidae","Canada Goose","Branta canadensis",NA
"ANSERIFORMES","Anatidae","Trumpeter Swan","Cygnus buccinator",NA
"ANSERIFORMES","Anatidae","Tundra Swan","Cygnus columbianus",NA
"ANSERIFORMES","Anatidae","Wood Duck","Aix sponsa",NA
"ANSERIFORMES","Anatidae","Blue-winged Teal","Spatula discors",NA
"ANSERIFORMES","Anatidae","Cinnamon Teal","Spatula cyanoptera",NA
"ANSERIFORMES","Anatidae","Northern Shoveler","Spatula clypeata",NA
"ANSERIFORMES","Anatidae","Gadwall","Mareca strepera",NA
"ANSERIFORMES","Anatidae","Eurasian Wigeon","Mareca penelope",NA
"ANSERIFORMES","Anatidae","American Wigeon","Mareca americana",NA
"ANSERIFORMES","Anatidae","Mallard","Anas platyrhynchos",NA
"ANSERIFORMES","Anatidae","Northern Pintail","Anas acuta",NA
"ANSERIFORMES","Anatidae","Green-winged Teal","Anas crecca",NA
"ANSERIFORMES","Anatidae","Canvasback","Aythya valisineria",NA
"ANSERIFORMES","Anatidae","Redhead","Aythya americana",NA
"ANSERIFORMES","Anatidae","Ring-necked Duck","Aythya collaris",NA
"ANSERIFORMES","Anatidae","Lesser Scaup","Aythya affinis",NA
"ANSERIFORMES","Anatidae","Harlequin Duck","Histrionicus histrionicus",NA
"ANSERIFORMES","Anatidae","Surf Scoter","Melanitta perspicillata",NA
"ANSERIFORMES","Anatidae","White-winged Scoter","Melanitta deglandi",NA
"ANSERIFORMES","Anatidae","Black Scoter","Melanitta americana","Near-threatened"
"ANSERIFORMES","Anatidae","Long-tailed Duck","Clangula hyemalis","Vulnerable"
"ANSERIFORMES","Anatidae","Bufflehead","Bucephala albeola",NA
"ANSERIFORMES","Anatidae","Common Goldeneye","Bucephala clangula",NA
"ANSERIFORMES","Anatidae","Barrow's Goldeneye","Bucephala islandica",NA
"ANSERIFORMES","Anatidae","Hooded Merganser","Lophodytes cucullatus",NA
"ANSERIFORMES","Anatidae","Common Merganser","Mergus merganser",NA
"ANSERIFORMES","Anatidae","Red-breasted Merganser","Mergus serrator",NA
"ANSERIFORMES","Anatidae","Ruddy Duck","Oxyura jamaicensis",NA
"GALLIFORMES","Phasianidae","Ruffed Grouse","Bonasa umbellus",NA
"GALLIFORMES","Phasianidae","Dusky Grouse","Dendragapus obscurus",NA
"GALLIFORMES","Phasianidae","Sooty Grouse","Dendragapus fuliginosus",NA
"GALLIFORMES","Phasianidae","Sharp-tailed Grouse","Tympanuchus phasianellus",NA
"GALLIFORMES","Phasianidae","White-tailed Ptarmigan","Lagopus leucura",NA
"GALLIFORMES","Phasianidae","Willow Ptarmigan","Lagopus lagopus",NA
"GALLIFORMES","Phasianidae","Rock Ptarmigan","Lagopus muta",NA
"GALLIFORMES","Phasianidae","Spruce Grouse","Canachites canadensis",NA
"COLUMBIFORMES","Columbidae","Band-tailed Pigeon","Patagioenas fasciata",NA
"COLUMBIFORMES","Columbidae","Mourning Dove","Zenaida macroura",NA
"CAPRIMULGIFORMES","Caprimulgidae","Common Nighthawk","Chordeiles minor",NA
"CAPRIMULGIFORMES","Caprimulgidae","Common Poorwill","Phalaenoptilus nuttallii",NA
"APODIFORMES","Apodidae","Black Swift","Cypseloides niger","Vulnerable"
"APODIFORMES","Apodidae","Vaux's Swift","Chaetura vauxi",NA
"APODIFORMES","Apodidae","White-throated Swift","Aeronautes saxatalis",NA
"APODIFORMES","Trochilidae","Black-chinned Hummingbird","Archilochus alexandri",NA
"APODIFORMES","Trochilidae","Anna's Hummingbird","Calypte anna",NA
"APODIFORMES","Trochilidae","Calliope Hummingbird","Selasphorus calliope",NA
