"family","common_name","index_primary_lifestyle","index_primary_habitat","index_habitat_density","index_forest_use","index_foraging_location","index_trophic_niche","index_migration","index_snag_use","index_oldgrowth","index_nesting_location","index_nest_type","index_handwing","index_foliageglean","index_sum"
"Anatidae","Snow Goose",0,1,0,0,1,0,0,0,0,0,0,1,0,3
"Anatidae","Ross's Goose",0,0,0,0,1,0,0,0,0,0,0,1,0,2
"Anatidae","Greater White-fronted Goose",0,1,0,0,1,0,0,0,0,0,0,1,0,3
"Anatidae","Brant",0,1,0,0,1,0,0,0,0,0,0,1,0,3
"Anatidae","Canada Goose",0,0,0,0,1,0,0,0,0,0,0,1,0,2
"Anatidae","Trumpeter Swan",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Anatidae","Tundra Swan",0,0,0,0,1,0,0,0,0,0,0,1,0,2
"Anatidae","Wood Duck",0,0,0,0,0,0,0,0,0,0,1,1,0,2
"Anatidae","Blue-winged Teal",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Anatidae","Cinnamon Teal",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Anatidae","Northern Shoveler",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Anatidae","Gadwall",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Anatidae","Eurasian Wigeon",0,0,0,0,1,0,0,0,0,0,0,1,0,2
"Anatidae","American Wigeon",0,0,0,0,1,0,0,0,0,0,0,1,0,2
"Anatidae","Mallard",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Anatidae","Northern Pintail",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Anatidae","Green-winged Teal",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Anatidae","Canvasback",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Anatidae","Redhead",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Anatidae","Ring-necked Duck",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Anatidae","Lesser Scaup",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Anatidae","Harlequin Duck",0,0,0,0,0,0,0,0,0,0,0,1,0,1
