trait,description,values,trait source,predicted fire impacts,source for fire impacts
habitat_density,How dense habitat is ,"  1 = Dense habitats. Species primarily lives in the lower or middle storey of forest, or in dense thickets, dense shrubland etc.;    2 = Semi-open habitats. Species primarily lives in open shrubland, scattered bushes, parkland, low dry or deciduous forest, thorn forest;    3 = Open habitats. Species primarily lives in desert, grassland, open water, low shrubs, rocky habitats, seashores, cities. Also applies to species living mainly on top of forest canopy (i.e. mostly in the open)",Avonet,Species with preferencefor open habitat will be benefitted by fire,Kotliar et al. 2002; Schieck & Song 2006; Morissette et al. 2002; Latif et al. 2021; Stephens et al. 2019; Cadieux et a;. 2020; Knaggs et al. 2020; Gyug et al. 2012 ; Puig-Gironès et al. 2022; Hannon et al. 2005
forest_use,Extent to which forest is prefered as a habitat,"Ranges from 1-6, where 1 = forest is most prefered, 6 = least prefered. NA indicates forest not used at all",Birdbase,Species with high preference for forests will be more impacted  by fire,Lewis et al 2016; Puig-Gironès et al. 2023
habitat_breadth,The number of major habitats used,"Lower = more habitat specialized, higher = broader habitat use",Birdbase,,Morissette et al. 2002; 
fmhawk,extent that foraging method is hawking (perching/incessorial),%,Dubovyk,Aerial insectivores are benefited by increased open areas,Saab et al 2004; Kotliar et al. 2002; Morissette et al. 2002; Latif et al. 2021; Knaggs et al. 2020; Edenius et al. 2011; 
fmfogl,extent that foraging method is foliage gleaning,%,Dubovyk,Foliage gleaners will be negatively impacted,Dickson et al 2009; Smucker et al. 2005; Fontaine et al. 2009; Kotliar et al. 2002; Latif et al. 2021;
fmbagl,extent that foraging method is bark gleaning,%,Dubovyk,Bark gleaners will be negatively impacted (if foraging on live trees),Kotliar et al. 2002; Latif et al. 2021;
fmbagl,extent that foraging method is bark gleaning,%,Dubovyk,Bark gleaners will be positively impacted (if foraging on dead trees),Azeria et al. 2011; Gyug et al. 2012; Farris et al. 2009; Hannon et al. 2005
Diet.Inv,extent that foraging category: invertebrate,%,EltonTraits,"Insectivores will be benefited due to increased insect activity in burned areas (bark beetles, etc)",Dickson et al 2009; Saab et al. 2004; Kotliar et al. 2002; Morissette et al. 2002; Latif et al. 2021; Knaggs et al. 2020;  Duquette et al. 2019; Edenius et al. 2011; Edenius et al. 2011; Duchac et al. 2021; 
diet_breadth,the number of major food types consumed," Lower = more diet  specialized, higher = broader diet",Birdbase,,Morissette et al. 2002; 
eco_spec_index,Ecological Specialization Index: log10 (100/[dietary breadth x habitat breadth]),Maximum of 2 for the most specialized species that only feed on one major food group and live in one major type of habitat (lower number = more generalist),Birdbase,Generalsits will be less negatively affected,Morissette et al. 2002; Knaggs et al. 2020; Duquette et al. 2019; Edenius et al. 2011; 
migration,Extent of migration,"1 = Sedentary. 
    2 = Partially migratory, i.e. minority of population migrates long distances, or most of population undergoes short-distance migration, nomadic movements, distinct altitudinal migration, etc.
    3 = Migratory, i.e. majority of population undertakes long-distance migration""",Avonet,Greater dispersal ability (as a proxy for migration) will be less affected,Franklin et al. 2021; Batista et al. 2023
